"","X","MC.._past","Symbol_past","Price_past","BTC_past","X1h_past","X24h_past","X7d_past","X14d_past","X30d_past","X45d_past","X90d_past","X200d_past","Mkt..Cap_past","MCAP.BTC_past","X24h.Vol_past","X24h.Vol.BTC_past","Circ..Supply_past","Total.Supply_past","Max..Supply_past","Team_past","Advisors_past","Brand.Buzz_past","Product_past","Coin_past","Social_past","Communication_past","Business_past","GitHub_past","Age..mo._past","Winning.months_past","Start.price_past","CMGR....3mo_past","Cum..ROI_past","Avg..volume_past","ATH_past","X..fm..ATH_past","ATH..BTC._past","X..fm..ATH..BTC._past","Name","Mkt.BTC_c","growth8mth","BTCprice_change","BTCmcap_change","success"
"20",20,1202,"ADL",0.0075,9.46862099003901e-07,0.22,21.48,-22.56,"-57.21","-73.46","-53.92","-84.51","-84.51",155550,155550,752,752,20722000,"100,000,000",NA,42.15,8,0,20,88,26,25,100,50,"20","20",0.2248,"- 34.82","- 92.24",74,0.5286,-98.58,5.174e-05,-98.16,"Adelphoi",19.6379199333409,-4.39267549500743e-07,-46.3919244378725,-46.1824222393094,0
"21",21,302,"ADX",0.1405,1.77378833213397e-05,-0.13,-0.83,17.56,"31.68","29.08","26.41","-35.9","-62.89",10320000,10320000,1340000,1340000,73431000,"100,000,000",1e+08,70.95,29,100,70,79,79,55,100,50,"19","19",0.2088,"- 25.50","- 56.09",723302,3.27,-95.7,5e-04,-96.15,"AdEx",1302.88224822937,-7.58599233127658e-06,-42.767179115166,-33.8716173164546,0
"22",22,1033,"ADH",0.0027,3.40870355641404e-07,0.88,29.45,18.85,"-4.41","10.09","-34.66","-74.72","-95.76",359560,359560,2300,2300,131377000,"392,000,000",NA,62,45,100,35,74,65,5,100,70,"10","10",0.0552,"- 41.65","- 96.40",20957,0.0876,-96.88,1e-05,-96.5,"AdHIve",45.3938315090457,-2.74081599127831e-07,-80.4064051308013,-80.6668828910493,0
"23",23,1060,"ADI",0.0013,1.64122763827343e-07,-1.08,7.91,73.12,"88.08","53.32","59.75","19.93","-83.54",308270,308270,68210,68210,234111000,"750,000,000",NA,66,52,100,35,90,62,5,100,80,"9","9",0.0131,"- 15.44","- 94.89",50280,0.0713,-98.15,8.11e-06,-97.9,"Aditus",38.9185572346577,-9.73340073137694e-08,-59.3056106562797,-60.8210730420647,0
"24",24,560,"ADS",0.1001,1.26374528147054e-05,-1.84,-9.1,8.66,"-2.08","58.86","101.95","-2.47","-9.41",3040000,3040000,25450,25450,30315000,"38,758,206",NA,61.85,28,0,30,70,67,95,100,80,"18","18",0.1347,"- 16.67","- 61.81",1204,2.18,-95.41,2e-04,-91.66,"Adshares",383.794770796248,-8.49654991086384e-06,-67.2330890998615,-62.4112351061951,0
"25",25,449,"ADT",0.0067,8.45863475110152e-07,0.67,2.92,15.58,"5.48","5.11","12.63","-56.56","-56.56",5020000,5020000,506040,506040,745200000,"1,000,000,000",1e+09,60.05,83,75,30,88,70,0,100,30,"19","19",0.0595,"- 25.91","- 89.34",751982,0.2059,-96.73,1.866e-05,-95.45,"adToken",633.766364933278,-5.11919692542284e-07,-60.5203685471371,-58.6895202996815,0
"26",26,1497,"XXX",3e-04,3.7874483960156e-08,-0.12,-26.31,3.65,"-51.15","-71.79","-70.28","-89.44","-89.44",15780,15780,832,832,49917000,"54,917,266",NA,28,0,0,10,55,28,0,70,20,"6","6",0.0214,"- 32.70","- 95.54",88,0.026,-98.79,3.72e-06,-98.92,"AdultChain",1.99219785630421,2.19876994798805e-09,5.80541229367298,0.106134698639445,0
"27",27,1176,"AIB",0.0052,6.56491055309371e-07,0.02,-42.99,46.45,"69.09","11.66","-25.24","-41.13","-57.47",172270,172270,2490,2490,32845000,"31,412,844,629",NA,57.05,NA,NA,0,98,45,0,100,60,"45","45",0.002,"- 16.31","200.21",408,0.0714,-92.66,3.27e-05,-97.98,"Advanced Internet Blocks",21.7487911727203,-5.89702298795798e-07,-89.8264026640699,-90.5047212279551,0
"28",28,1333,"ADZ",0.0014,1.76747591814062e-07,0.8,5.51,1.4,"-15.54","-30.99","-58.98","-78.98","-89.65",66190,66190,633,633,46539000,"46,539,103",8.4e+07,42.6,38,0,25,88,40,5,30,40,"37","37",0.0133,"- 27.22","- 81.56",606,0.1611,-99.12,4e-04,-99.95,"Adzcoin",8.35637364440909,-4.31700787869146e-08,-24.4247055045196,-19.5789349978142,0
"29",29,1318,"AEG",0.0023,2.9037104369453e-07,-0.23,-3.08,-5.4,"-45.69","-54.76","-55.46","-88.45","-95.54",72770,72770,5290,5290,31298000,"36,413,471",NA,48.95,NA,NA,30,70,31,10,100,60,"7","7",0.0545,"- 45.62","- 95.79",2623,0.0717,-96.76,9.48e-06,-96.94,"Aegeus",9.18708732593518,-1.96866784575527e-07,-67.7983527801865,-62.1095362873009,0
"30",30,77,"ELF",0.217,2.73958767311795e-05,-0.09,0.12,35.5,"93.81","77.55","63.94","-31.41","-67.31",77130000,77130000,19200000,19200000,355400000,"880,000,000",1e+09,80.15,43,50,80,65,84,80,100,100,"14","14",1.1,"- 32.79","- 91.02",3120054,2.59,-91.63,2e-04,-87.8,"aelf",9737.52982615612,-1.91007131721937e-05,-69.7211239472945,-53.6475446466588,0
"31",31,370,"AEON",0.4547,5.74050928556098e-05,-0.1,4.71,7.64,"57.19","57.61","39.90","-26.34","-26.34",7200000,7200000,15160,15160,15831000,"15,831,459",NA,46.25,4,0,60,77,52,5,70,30,"42","42",0.0094,"- 24.92","2640.29",3783,8.99,-94.94,7e-04,-91.4,"Aeon",908.987615043745,-3.19585766239383e-05,-55.6720232198269,-55.620507621265,0
"32",32,206,"AERGO",0.1666,2.10329634258733e-05,-0.66,1.67,12.53,"145.68","83.77","47.33","47.33","list(NULL)",17320000,17320000,3400000,3400000,103935000,"500,000,000",5e+08,67.5,50,50,60,78,71,50,100,60,"2","2",0.1813,"- 23.24","- 68.62",464358,0.1666,0,2.905e-05,-27.57,"Aergo",2186.62020729968,-1.70389957863616e-05,-81.0109133998751,-81.0014531043117,0
"33",33,350,"ARN",0.4109,5.18754181974271e-05,-2.62,-1.81,16.76,"39.50","41.33","33.98","-41.81","-35.53",8010000,8010000,2850000,2850000,19500000,"20,000,000",NA,70.3,65,100,50,88,74,50,100,30,"15","15",0.4836,"- 28.22","- 46.71",2095290,9.34,-95.6,6e-04,-90.93,"Aeron",1011.24872173617,-3.01022835740021e-05,-58.02803065498,-56.9381218380309,0
"34",34,51,"AE",0.557,7.03202918860231e-05,1.35,2.32,22.97,"32.93","36.67","21.45","-52.59","-69.58",147400000,147400000,23730000,23730000,264637000,"310,457,706",NA,80.5,100,100,50,73,73,90,100,100,"20","20",0.6843,"- 35.25","- 46.28",39242360,5,-88.86,0.0015,-95.31,"Aeternity",18608.9964524233,-4.87608812834415e-05,-69.341124696232,-65.9829139172513,0
"35",35,307,"DLT",0.1172,1.47962984004343e-05,-0.74,1.2,47.52,"-3.69","117.32","198.87","24.92","30.27",10080000,10080000,2370000,2370000,85979000,"130,271,020",NA,50.8,48,0,35,68,39,55,100,60,"17","17",0.401,"5.89","- 73.11",6213402,1.72,-93.17,1e-04,-88.24,"Agrello",1272.58266106124,-9.21275835589955e-06,-62.2639399839973,-62.3173184390589,0
"36",36,1501,"AGLT",0.001,1.26248279867187e-07,-0.23,-20.82,-66.8,"-94.38","-94.97","-95.64","-98.68","-98.68",14360,14360,1070,1070,13752000,"100,000,000",NA,46.25,33,25,30,61,54,0,100,30,"4","4",0.3715,"- 46.08","- 94.22",18,0.7146,-99.85,1e-04,-99.88,"Agrolot",1.8129252988928,-7.2817274656328e-08,-57.6778350825309,92.306494489197,0
"37",37,608,"AIDOC",0.0054,6.81740711282809e-07,-3.35,-2.21,8.24,"58.86","29.33","-0.34","-49.25","-75.12",2410000,2410000,537210,537210,443295000,"777,777,777",NA,44.35,43,0,10,78,70,0,70,5,"13","13",0.2311,"- 32.19","- 98.66",661847,0.1723,-96.84,1.542e-05,-95.52,"AI Doctor",304.25835447992,-2.40934918293224e-07,-35.3411369316444,-17.9020244858222,0
"38",38,767,"AIT",0.0023,2.9037104369453e-07,-1.46,-2.51,36.3,"167.98","94.38","69.62","14.45","-88.7",1240000,1240000,119970,119970,535067000,"2,100,000,000",NA,43.25,NA,NA,10,78,46,0,100,15,"13","13",0.1183,"- 29.55","- 99.38",14787,0.1226,-98.11,1.18e-05,-97.54,"AICHAIN",156.547867035312,-1.83509033272812e-07,-63.1981174630702,-62.6080259876345,0
"39",39,558,"AID",0.0676,8.53438371902183e-06,-0.12,-9.39,10.61,"127.71","186.18","210.53","11.58","-42.22",3080000,3080000,93820,93820,45648000,"100,000,000",NA,56.7,86,100,50,78,66,0,70,20,"12","12",0.7304,"- 16.51","- 95.39",123644,0.5452,-87.61,5.581e-05,-84.71,"AidCoin",388.844701990935,-7.18525083744764e-06,-84.1917949087856,-84.1566700812201,0
"40",40,1660,"ADK",2.07,0.000261333939325077,-1.83,-2.95,140.57,"-16.11","-48.64","-63.42","-65.76","-89.66",1,1,2750000,2750000,1,"25,000,000",NA,53.95,25,0,40,88,57,5,100,50,"20","20",0.6234,"- 24.76","283.86",118731,87.12,-97.62,0.007,-96.26,"Aidos Kuneen",0.000126248279867187,-6.63107703054421e-05,-25.3739604112258,5.80541229367272,0
"41",41,1116,"AIX",0.0081,1.02261106692421e-06,0.08,4.61,8.78,"24.03","10.01","-24.35","-58.07","-90.33",236530,236530,17670,17670,29275000,"29,274,567",NA,45.5,24,50,50,78,32,0,70,50,"13","13",3.82,"- 42.17","- 99.90",14568,1.83,-99.56,2e-04,-99.34,"Aigang",29.8615056369857,-8.89033553897066e-07,-86.9376034205342,-87.067879468101,0
"42",42,819,"ALI",4e-04,5.04993119468747e-08,12.09,-26.9,0.23,"28.49","-0.81","-8.86","-65.24","-65.24",1e+06,1e+06,27900,27900,2.633e+09,"10,000,000,000",NA,42.95,21,25,30,16,67,0,100,60,"5","5",0.0057,"- 35.90","- 94.77",201803,0.0053,-92.85,8.4e-07,-94.06,"AiLink Token",126.248279867187,-4.97619640749649e-08,-98.5398853103473,-97.0321581851625,0
"43",43,83,"AION",0.225,2.8405862970117e-05,0.52,-1.15,27.95,"68.69","36.49","32.56","-45","-74.79",69650000,69650000,6590000,6590000,309582000,"309,581,662",NA,84.3,80,50,90,63,86,100,100,100,"16","16",0.616,"- 35.01","- 82.45",2041962,11.1,-97.97,8e-04,-96.27,"Aion",8793.19269274956,-1.93493075868765e-05,-68.1173024288399,-62.6452966503746,0
"44",44,486,"ABL",0.0164,2.07047178982186e-06,-0.6,4.02,5.33,"262.58","126.92","48.78","-24.77","-24.77",4140000,4140000,860300,860300,252043000,"400,000,000",NA,58.2,63,75,40,31,70,95,70,50,"6","6",0.034,"- 39.85","- 85.42",228948,0.0485,-66.16,6.58e-06,-68.55,"Airbloc",522.667878650153,-1.10871369602641e-06,-53.5488433832655,-53.2309409426518,0
"45",45,438,"AST",0.0349,4.40606496736482e-06,0.2,-0.82,5.28,"17.28","15.48","10.55","-64.97","-76.43",5230000,5230000,1580000,1580000,1.5e+08,"500,000,000",NA,73.45,51,100,70,76,74,75,100,60,"16","16",0.3519,"- 35.22","- 93.10",497333,1.93,-98.19,1e-04,-96.73,"Airswap",660.278503705387,-1.06662714168615e-06,-24.2081573827559,-24.135698642204,0
"46",46,1032,"WIRE",0.003,3.7874483960156e-07,-0.12,-34.14,-18.44,"-47.22","-60.77","-63.10","-88.67","-88.67",360560,360560,1357,1357,120058000,"195,972,982",NA,54.45,32,0,35,91,55,40,70,50,"4","4",0.061,"- 38.14","- 90.22",57396,0.0786,-96.18,1.624e-05,-97.66,"AirWire",45.5200797889129,-2.98598331785272e-07,-78.8389175412654,-79.5995333296646,0
"47",47,1335,"AKA",0.0033,4.16619323561716e-07,-3.95,-8.5,-0.03,"-69.34","-74.79","-81.11","-95.12","-95.12",64030,64030,2490,2490,19177000,"19,177,485",NA,51.65,63,0,30,63,37,0,70,90,"6","6",0.052,"- 48.20","- 80.20",4286,0.1037,-96.78,1.6e-05,-97.38,"Akroma",8.08367735989597,-3.63188318350858e-07,-87.1751015401608,-88.1355167848107,0
"48",48,592,"ALX",0.0052,6.56491055309371e-07,1.39,26.25,73.76,"147.56","112.01","175.90","-14.7","-72.49",2610000,2610000,751,751,502909000,"1,000,000,000",NA,54.15,77,75,40,49,34,90,100,50,"7","7",0.0274,"- 34.98","- 93.86",217,0.0319,-83.75,4.84e-06,-86.35,"ALAX",329.508010453358,-6.16417801401227e-07,-93.895841598442,-99.7620391685196,0
"49",49,995,"SDS",0.0013,1.64122763827343e-07,22.36,16.83,5.85,"-44.54","-64.84","-38.96","-78.42","-78.42",422760,422760,22590,22590,317947000,"1,000,000,000",NA,43.05,86,75,30,65,29,75,100,10,"6","6",0.013,"- 27.85","- 83.60",52244,0.0137,-90.31,2.13e-06,-92.02,"Alchemint Standards",53.3727227966519,-8.39762560110547e-08,-51.1667327875357,-50.0780452497424,0
"50",50,629,"ALIS",0.0573,7.2340264363898e-06,-0.13,-6,18.74,"99.51","82.30","59.46","11.68","-30.79",2240000,2240000,1370,1370,39127000,"75,200,000",NA,62.1,45,0,60,83,67,20,70,80,"16","16",0.1431,"- 33.31","- 88.87",2329,1.25,-95.42,1e-04,-93.21,"Alis",282.796146902498,-2.15808094135822e-06,-29.832361829676,-29.148161410487,0
"51",51,328,"SOC",0.0062,7.82739335176558e-07,0.22,-4.72,16.72,"54.78","78.96","49.30","-44.69","-80.27",9370000,9370000,1210000,1210000,1.5e+09,"1,500,000,000",NA,51.4,40,0,50,58,66,70,100,20,"12","12",0.206,"- 33.52","- 98.33",295477,0.3006,-97.92,3.035e-05,-97.4,"All Sports",1182.94638235554,-3.01860288278829e-07,-38.5645993133513,-39.8139970624038,0
"52",52,1618,"KZE",0.1827,2.3065560731735e-05,-0.23,151.85,86.75,"-6.70","-0.10","-0.10%","list(NULL)","list(NULL)",1,1,184,184,1,"400,000,000",NA,43.35,22,0,10,47,63,25,100,30,"1","1",0.1829,"0.7144","- 20.57",6227412,0.3035,-39.79,8.491e-05,-72.83,"Almeela",0.000126248279867187,-1.21923511713253e-05,-52.8595481077996,32139352.038326,0
"53",53,773,"ACAT",4e-04,5.04993119468747e-08,0.3,10.45,32.56,"88.25","60.60","48.04","-40.61","-85.91",1210000,1210000,110340,110340,2.79e+09,"6,250,000,000",NA,56.3,86,50,80,53,57,90,100,20,"12","12",0.0155,"- 34.32","- 98.59",72736,0.0146,-97.01,1.76e-06,-97.15,"Alphacat",152.760418639296,-2.37838093414453e-08,-47.0972938531635,-55.8607801507437,0
"54",54,910,"XLQ",0.0118,1.4897297024328e-06,13.74,3.13,2.66,"-78.76","-80.71","-83.45","-95.14","-90.18",675940,675940,4200,4200,57413000,"57,512,660",57879300,56.05,17,0,60,90,67,25,70,30,"15","15",0.1429,"- 41.81","- 75.31",6888,3.11,-99.62,2e-04,-99.4,"ALQO",85.3362622934263,6.20795003396118e-07,41.6716537491554,59.6613908624232,1
"55",55,1203,"ALT",2e-04,2.52496559734374e-08,-5.53,-51.22,-7.7,"-17.54","-1.65","-26.41","-42.91","-42.91",155070,155070,909,909,724181000,"1,069,639,374",NA,58.75,39,50,35,82,59,20,100,60,"4","4",0.0013,"- 5.20","- 74.41",5448,0.0012,-81.82,1.8e-07,-83.57,"Alt.Estate token",19.5773207590047,-1.28496554391273e-08,-50.8904178838916,-54.1352949353152,0
"56",56,1464,"SONO",0.0138,1.74222626216718e-06,-0.13,27.9,48.52,"-61.50","-78.03","-59.84","-83.69","-83.69",23470,23470,619,619,1697000,"1,697,175",NA,32.15,43,0,0,88,23,0,70,10,"15","15",5.51,"- 25.94","- 99.38",77,23.8,-99.94,0.0019,-99.91,"AltCommunity Coin",2.96304712848287,-1.66207975435089e-06,-95.3997646828838,-94.3648587402177,0
"57",57,402,"AMB",0.0423,5.340302238382e-06,0.32,5.31,24.24,"-40.17","-49.25","-43.06","-77.6","-85.25",6110000,6110000,2270000,2270000,144591000,"361,477,438",NA,69.6,55,100,60,78,53,100,100,70,"15","15",0.1972,"- 36.93","- 75.22",503757,1.72,-97.54,1e-04,-94.73,"Ambrosus",771.376989988511,-2.36152369787662e-06,-44.2207873723663,-44.2400282183917,0
"58",58,606,"AMLT",0.0103,1.30035728263202e-06,3.06,-19.12,-6.78,"-44.63","-54.51","-36.49","-25.53","-29.25",2430000,2430000,2860,2860,235455000,"400,000,000",4e+08,63.65,49,100,70,54,67,45,100,50,"10","10",0.0744,"- 7.34","- 82.20",883,0.0734,-85.93,1.46e-05,-91.1,"AMLT Token",306.783320077264,-2.58452681020278e-07,-19.8755130203249,-18.5777279879966,0
"59",59,444,"AMO",6e-04,7.57489679203121e-08,-0.04,-1.43,-13.13,"-31.26","-55.32","-63.03","-73.59","-73.59",5120000,5120000,80080,80080,8.972e+09,"19,679,012,762",NA,60.9,44,100,25,67,65,55,100,50,"5","5",0.0016,"- 38.86","- 63.98",143659,0.0034,-83.04,5.4e-07,-87,"AMO Coin",646.391192919996,-4.90334653148827e-08,-64.7315292354424,-39.0378972136064,0
"60",60,1138,"AMN",4e-04,5.04993119468747e-08,3.87,2.34,11.67,"9.95","30.73","2.45","-66.62","-92.91",208670,208670,3810,3810,492902000,"1,209,963,685",NA,55.4,61,0,15,66,59,25,100,80,"9","9",0.0652,"- 37.59","- 99.49",1499,0.0306,-98.62,4.06e-06,-98.77,"Amon",26.3442285598859,9.64359523829869e-08,190.964883807601,232.845664666979,1
"61",61,459,"VEO",75.38,0.00951659533638854,-0.12,-15.69,12.73,"12.73%",NA,NA,"list(NULL)","list(NULL)",4720000,4720000,2630,2630,62607,"64,412",NA,62.85,45,100,40,48,81,45,70,70,"N/A","N/A",66.02,"- 6.80","4.39",0,75.98,-0.79,0.0219,-56.55,"Amoveo",595.891880973122,-0.00300736312657567,-31.6012504501104,-26.0258769980678,0
"62",62,1417,"AMS",7e-04,8.83737959070308e-08,0,32,32,"98.30","46.77","254.53","9.26","-68.07",35640,35640,1,1,50202000,"81,469,427",NA,39.2,NA,NA,0,78,34,0,30,30,"42","42",6e-04,"- 16.18","- 40.79",54,0.0538,-98.68,1.127e-05,-99.2,"AmsterdamCoin",4.49948869446654,-3.4942790696172e-08,-39.5397644036155,-33.055217530238,0
"63",63,1708,"AVH",6e-04,7.57489679203121e-08,-0.12,-2.8,13.37,"18.59","24.49","-1.40","-22.25","-84.4",1,1,39790,39790,1,"10,000,000,000",NA,34.95,43,75,10,60,44,0,70,0,"12","12",0.0368,"- 16.79","- 98.88",66571,0.0315,-98.24,2.9e-06,-97.59,"Animation Vision Cash",0.000126248279867187,-6.23912166175974e-08,-82.3657646177212,5.80541229367272,0
"64",64,1655,"ANON",0.0859,1.08447272405913e-05,-0.13,-5.04,-26.52,"-59.13","-38.30","-49.27","-56.31","-56.31",1,1,1040,1040,1,"19,961,616",NA,55.9,NA,NA,50,90,26,5,70,70,"4","4",0.6727,"1.81","- 75.66",1303,0.6968,-87.67,1e-04,-89.94,"ANON",0.000126248279867187,-9.20172383035744e-06,-84.8497488799513,9920215.45665475,0
