Advisors,Social,GitHub,1h,7d,90d,24h Vol BTC,45d,Avg. volume,MC #,30d,Coin,Symbol,24h,Product,Total Supply,Team,Business,Age (mo),Price,200d,14d,Winning months,Max. Supply,24h Vol,BTC,Name,Communication,Mkt. Cap,MCAP BTC,Circ. Supply,Brand/Buzz
,72.0,100.0,0.04,29.76,22.25,33.59,98.0,5405144268.0,1.0,95.92,90.0,BTC,-2.58,100.0,17704275.0,85.8,100.0,69.0,7920.9,7.07,121.72,69.0,21000000.0,33.59,1.0,Bitcoin,5.0,140.23,140.23,17.704,
,73.0,100.0,-1.73,27.74,-22.56,10.42,44.49,2931173.0,33.0,57.64,83.0,LSK,7.75,90.0,132088171.0,85.0,100.0,34.0,2.21,-56.09,80.76,34.0,,10.42,0.00027947,Lisk,95.0,258.94,258.94,116.973,
,77.0,100.0,-0.21,35.78,-20.15,79.86,62.32,29651141.0,12.0,68.42,98.0,XMR,-5.57,50.0,16984575.0,84.95,100.0,57.0,88.06,-33.14,93.35,57.0,,79.86,0.01111802,Monero,75.0,1.5,1.5,16.985,
80.0,86.0,100.0,0.52,27.95,-45.0,6.59,32.56,2041962.0,83.0,36.49,63.0,AION,-1.15,90.0,309581662.0,84.3,100.0,16.0,0.225,-74.79,68.69,16.0,,6.59,2.84e-05,Aion,100.0,69.65,69.65,309.582,50.0
46.0,82.0,100.0,0.62,63.17,-40.43,23.89,62.01,514114.0,151.0,59.17,100.0,SKY,14.25,50.0,25000000.0,84.15,100.0,22.0,1.83,-70.56,78.37,22.0,100000000.0,23.89,0.00023074,Skycoin,75.0,27.41,27.41,15.0,75.0
66.0,68.0,100.0,-0.11,23.13,24.03,1.26,39.79,268864804.0,11.0,26.07,98.0,TRX,-5.23,100.0,99281283754.0,84.05,100.0,17.0,0.029,-18.49,11.42,17.0,,1.26,3.66e-06,TRON,95.0,1.93,1.93,66.682,0.0
80.0,86.0,100.0,-0.03,26.39,-63.07,14.65,-36.07,2058745.0,117.0,-31.3,78.0,POLY,-1.01,80.0,1000000000.0,83.95,100.0,12.0,0.0973,-72.75,-21.17,12.0,,14.65,1.229e-05,Polymath,55.0,41.15,41.15,422.858,50.0
,78.0,90.0,0.23,52.08,-84.62,101.52,-85.47,47198.0,731.0,-81.21,93.0,BTCP,12.47,80.0,22717926.0,83.85,100.0,11.0,0.3069,-95.45,-74.18,11.0,22873588.0,101.52,3.874e-05,Bitcoin Private,0.0,1.44,1.44,4.688,
83.0,88.0,80.0,0.97,30.56,-66.71,2.83,-20.68,920964.0,225.0,-8.41,96.0,GO,-2.6,50.0,1044228156.0,83.75,100.0,8.0,0.0221,-68.18,1.01,8.0,,2.83,2.8e-06,GoChain,90.0,15.83,15.83,715.046,75.0
,80.0,90.0,0.99,-39.74,-59.35,336.42,-42.76,61183.0,385.0,-10.62,98.0,BURST,-8.15,50.0,2040319166.0,83.3,100.0,53.0,0.0032,-75.86,-13.82,53.0,2158812800.0,336.42,4.1e-07,Burst,55.0,6.56,6.56,2.04,
,63.0,100.0,-0.4,41.01,-26.12,25.8,63.67,3545431.0,41.0,58.43,93.0,BTS,6.3,90.0,2717910000.0,83.2,100.0,55.0,0.0718,-26.12,83.66,55.0,3600570502.0,25.8,9.07e-06,BitShares,55.0,195.16,195.16,2.718,
,63.0,100.0,-0.5,8.23,3.93,1.07,43.28,115704.0,334.0,25.81,93.0,SBD,-0.33,90.0,8908102.0,82.7,70.0,31.0,1.02,-16.87,7.5,31.0,,1.07,0.00012845,Steem Dollars,75.0,9.06,9.06,8.908,
86.0,82.0,100.0,0.1,24.74,-43.1,2.8,18.46,918887.0,129.0,28.17,76.0,IOTX,-2.85,50.0,10000000000.0,82.6,100.0,8.0,0.0104,-55.68,36.45,8.0,,2.8,1.32e-06,IoTeX,100.0,36.5,36.5,3.5,75.0
86.0,73.0,100.0,0.05,18.8,-46.27,38.54,-6.76,14882924.0,47.0,-16.06,73.0,ZIL,-4.93,80.0,12533042435.0,82.35,100.0,12.0,0.0187,-74.36,-16.3,12.0,,38.54,2.36e-06,Zilliqa,75.0,162.16,162.16,8.687,100.0
71.0,83.0,,0.01,40.63,-18.34,4.94,10.35,471603727.0,3.0,14.49,84.0,XRP,-3.49,100.0,99991633428.0,82.3,100.0,66.0,0.418,-8.32,31.36,66.0,100000000000.0,4.94,5.277e-05,XRP (Ripple),100.0,17.61,17.61,42.133,50.0
,77.0,90.0,-0.16,42.09,-30.42,4.48,107.69,218570156.0,4.0,140.87,88.0,BCH,1.27,80.0,17785713.0,82.25,100.0,18.0,402.05,-48.15,208.81,18.0,21000000.0,4.48,0.050758,Bitcoin Cash,0.0,7.15,7.15,17.786,
,82.0,80.0,-1.07,-0.75,-45.22,202.51,-42.88,187420.0,239.0,-29.54,98.0,SMART,-1.21,50.0,2014903577.0,82.1,100.0,19.0,0.0101,-88.38,-7.5,19.0,5000000000.0,202.51,1.28e-06,SmartCash,75.0,14.35,14.35,1.414,
80.0,75.0,90.0,0.2,5.49,-1.61,3.96,66.42,388208.0,54.0,54.62,88.0,KMD,-4.04,90.0,113519636.0,81.75,100.0,24.0,1.19,-18.77,80.81,24.0,200000000.0,3.96,0.00015072,Komodo,95.0,135.52,135.52,113.52,0.0
85.0,89.0,,0.04,-7.8,-55.71,11.35,-13.05,4068257.0,118.0,-6.66,86.0,NEXO,-4.49,60.0,1000000000.0,81.75,100.0,9.0,0.0714,-9.57,23.31,9.0,,11.35,9.02e-06,Nexo,25.0,40.0,40.0,560.0,100.0
66.0,71.0,90.0,-1.03,26.56,-23.75,2.0,44.92,512116.0,88.0,39.41,98.0,XZC,1.13,80.0,21400000.0,81.75,100.0,28.0,7.93,-52.36,50.98,28.0,21400000.0,2.0,0.00100132,ZCoin,95.0,59.49,59.49,7.501,25.0
80.0,89.0,,-0.19,33.64,4.94,62.56,150.43,7668697.0,23.0,174.28,88.0,BAT,-1.48,70.0,1500000000.0,81.6,100.0,20.0,0.3794,16.65,209.34,20.0,,62.56,4.79e-05,Basic Attention Token,55.0,478.81,478.81,1.262,75.0
78.0,83.0,,0.02,16.48,-54.24,1.94,-19.78,640697.0,243.0,-14.5,83.0,OST,-0.05,60.0,800000000.0,81.55,100.0,14.0,0.0228,-64.85,-0.65,14.0,,1.94,2.88e-06,ost,95.0,14.22,14.22,623.857,100.0
86.0,77.0,80.0,-2.85,70.48,-19.47,23.55,25.08,2428588.0,46.0,46.39,98.0,XVG,13.82,100.0,16017168369.0,81.5,100.0,51.0,0.0108,-53.36,63.28,51.0,16555000000.0,23.55,1.37e-06,Verge,50.0,173.65,173.65,16.017,0.0
80.0,82.0,80.0,-0.83,30.07,-29.36,3.62,-4.79,451047.0,160.0,-14.66,98.0,AGI,2.02,50.0,1000000000.0,81.45,100.0,13.0,0.0464,-48.73,-5.03,13.0,,3.62,5.85e-06,SingularityNET,75.0,25.02,25.02,539.673,75.0
36.0,89.0,,-0.16,29.9,-36.5,143.59,33.14,30795990.0,30.0,44.01,82.0,OMG,-0.02,100.0,140245398.0,80.85,100.0,19.0,2.17,-69.02,71.67,19.0,,143.59,0.00027428,OmiseGo,95.0,304.69,304.69,140.245,50.0
66.0,82.0,90.0,0.37,21.14,-25.51,3.89,73.6,505971.0,132.0,40.53,73.0,ENG,2.81,80.0,150000000.0,80.8,100.0,16.0,0.4764,-63.48,65.59,16.0,,3.89,6.015e-05,Enigma,70.0,35.65,35.65,74.836,75.0
86.0,82.0,80.0,1.23,57.9,-51.88,2.99,3.96,1060129.0,197.0,-1.11,78.0,POE,15.86,80.0,3141592653.0,80.8,100.0,17.0,0.0058,-67.72,7.69,17.0,,2.99,7.3e-07,Po.et,90.0,18.2,18.2,3.142,50.0
100.0,73.0,100.0,1.35,22.97,-52.59,23.73,21.45,39242360.0,51.0,36.67,73.0,AE,2.32,50.0,310457706.0,80.5,100.0,20.0,0.557,-69.58,32.93,20.0,,23.73,7.032e-05,Aeternity,90.0,147.4,147.4,264.637,100.0
43.0,84.0,100.0,-0.09,35.5,-31.41,19.2,63.94,3120054.0,77.0,77.55,65.0,ELF,0.12,80.0,880000000.0,80.15,100.0,14.0,0.217,-67.31,93.81,14.0,1000000000.0,19.2,2.74e-05,aelf,80.0,77.13,77.13,355.4,50.0
63.0,88.0,100.0,-1.65,16.63,-76.04,43.78,18.67,5217034.0,99.0,17.78,88.0,ETP,-7.53,50.0,75592069.0,79.9,100.0,20.0,0.7609,-63.88,38.11,20.0,100000000.0,43.78,9.606e-05,Metaverse ETP,45.0,54.26,54.26,71.318,0.0
,75.0,90.0,-0.05,34.4,39.84,52.58,259.5,2971787.0,38.0,289.89,98.0,RVN,-1.31,50.0,3552070000.0,79.55,70.0,11.0,0.0583,252.49,342.01,11.0,21000000000.0,52.58,7.37e-06,Ravencoin,0.0,207.23,207.23,3.552,
62.0,83.0,,-1.12,52.93,-45.23,887.14,10.87,115857156.0,9.0,12.38,94.0,XLM,10.05,100.0,104982420568.0,79.3,100.0,54.0,0.1383,-52.05,35.69,54.0,,887.14,1.746e-05,Stellar,20.0,2.65,2.65,19.185,100.0
,67.0,80.0,12.16,-6.45,-82.93,2.36,-50.9,2883.0,899.0,-39.57,96.0,DEV,1.0,80.0,17263266.0,79.25,100.0,10.0,0.0473,-94.84,37.48,10.0,88000000.0,2.36,5.97e-06,DeviantCoin,40.0,731.06,731.06,15.449,
76.0,83.0,,-0.29,20.27,-41.14,5.97,36.19,428939.0,150.0,42.39,89.0,CVC,-0.05,70.0,1000000000.0,79.15,100.0,19.0,0.0813,-58.16,56.35,19.0,,5.97,1.026e-05,Civic,95.0,27.85,27.85,342.7,50.0
66.0,88.0,100.0,-0.34,31.76,-25.36,20.43,41.29,16562690.0,61.0,45.45,63.0,SNT,2.48,90.0,6804870174.0,78.95,70.0,19.0,0.0279,-60.75,27.9,19.0,,20.43,3.53e-06,Status,25.0,96.99,96.99,3.47,50.0
46.0,83.0,90.0,0.59,41.28,-25.84,773.0,51.88,125763454.0,19.0,41.04,78.0,NEO,-1.92,100.0,100000000.0,78.8,100.0,29.0,12.17,-65.31,58.82,29.0,100000000.0,773.0,0.00153584,NEO,40.0,790.74,790.74,65.0,0.0
,61.0,90.0,0.86,40.56,-33.61,2.18,25.02,271786.0,229.0,33.75,93.0,NAV,14.83,80.0,65100454.0,78.8,100.0,56.0,0.2347,-48.95,35.15,56.0,,2.18,2.963e-05,NAV Coin,45.0,15.28,15.28,65.1,
63.0,85.0,,2.54,30.89,-38.12,8.85,47.73,2276784.0,149.0,31.83,81.0,CTXC,-0.66,60.0,299792458.0,78.65,100.0,10.0,0.1866,-66.36,76.83,10.0,,8.85,2.355e-05,Cortex,90.0,27.95,27.95,149.792,75.0
63.0,78.0,100.0,-0.67,54.03,21.38,18.12,102.19,2643283152.0,2.0,69.44,78.0,ETH,8.17,100.0,106095227.0,78.4,100.0,42.0,260.1,-44.36,120.24,42.0,,18.12,0.03283705,Ethereum,5.0,27.6,27.6,106.095,0.0
59.0,79.0,,-3.26,-3.41,-61.46,174.41,-55.73,49350.0,375.0,-45.75,92.0,SWM,7.75,40.0,100000000.0,78.05,100.0,12.0,0.087,-65.44,-33.34,12.0,,174.41,1.098e-05,Swarm,95.0,7.0,7.0,80.444,100.0
40.0,73.0,90.0,-0.15,24.97,-44.41,3.22,31.18,912101.0,146.0,15.88,78.0,GAS,-0.89,100.0,17190378.0,78.0,100.0,19.0,2.86,-74.21,32.19,19.0,100000000.0,3.22,0.00036125,Gas,90.0,28.98,28.98,10.128,0.0
66.0,75.0,100.0,0.91,30.26,-37.09,7.44,14.48,960758.0,50.0,10.7,80.0,DGB,-4.82,90.0,11798893211.0,77.95,100.0,60.0,0.0131,-37.09,36.78,60.0,21000000000.0,7.44,1.66e-06,DigiByte,25.0,154.75,154.75,11.799,0.0
81.0,72.0,,-0.54,10.24,-29.32,59.22,-20.83,1352.0,400.0,-51.94,93.0,UTNP,-3.74,80.0,4997891952.0,77.75,100.0,12.0,0.0033,-69.79,-41.05,12.0,,59.22,4.2e-07,Universa,95.0,6.16,6.16,1.849,0.0
,86.0,70.0,-0.17,20.07,-40.92,6.2,7.74,1496384.0,43.0,10.49,88.0,BCD,-5.21,50.0,189492898.0,77.7,100.0,14.0,1.03,-75.5,29.46,14.0,210000000.0,6.2,0.00012963,Bitcoin Diamond,25.0,191.49,191.49,186.493,
83.0,78.0,50.0,0.33,27.4,-16.97,1.27,70.28,216821.0,167.0,77.58,98.0,TPAY,3.96,80.0,20120370.0,77.7,100.0,10.0,1.47,-60.56,108.23,10.0,25000000.0,1.27,0.00018533,Tokenpay,95.0,23.52,23.52,16.024,50.0
56.0,85.0,,1.32,34.93,-58.96,2.81,0.17,2358222.0,110.0,8.65,93.0,WAN,-0.5,90.0,210000000.0,77.45,100.0,10.0,0.4153,-80.45,25.8,10.0,,2.81,5.244e-05,Wanchain,55.0,44.09,44.09,106.152,0.0
100.0,69.0,80.0,0.23,28.53,-14.42,10.76,60.4,645707.0,137.0,80.34,98.0,GRS,4.25,90.0,72552649.0,77.45,100.0,58.0,0.4376,-30.05,106.18,58.0,105000000.0,10.76,5.525e-05,Groestlcoin,25.0,31.75,31.75,72.553,0.0
61.0,87.0,,-0.06,-14.52,-17.83,5.23,-42.44,987342.0,124.0,-44.22,88.0,ODE,-10.44,40.0,268946131.0,77.35,100.0,10.0,0.1626,-59.31,-43.94,10.0,,5.23,2.053e-05,ODEM,45.0,37.45,37.45,230.296,100.0
65.0,84.0,,-3.81,62.87,102.96,8.01,137.98,3487032.0,94.0,73.17,88.0,LA,20.98,50.0,400000000.0,77.3,100.0,15.0,0.1518,25.44,133.87,15.0,1000000000.0,8.01,1.916e-05,LAToken,100.0,57.02,57.02,375.604,50.0
66.0,71.0,90.0,-0.78,-1.99,-34.45,980.51,25.88,297646.0,135.0,18.54,98.0,SYS,0.64,80.0,553130522.0,77.25,100.0,54.0,0.0594,-60.83,38.39,54.0,888000000.0,980.51,7.5e-06,SysCoin,25.0,32.86,32.86,553.131,0.0
56.0,89.0,,0.42,11.19,-44.28,2.12,-42.79,2687040.0,102.0,-57.81,73.0,R,-4.46,70.0,484450000.0,77.0,100.0,15.0,0.1105,-59.36,-50.11,15.0,484450000.0,2.12,1.395e-05,Revain,95.0,53.52,53.52,484.45,75.0
41.0,87.0,,0.15,48.81,-42.78,8.06,21.52,1158878.0,52.0,29.73,93.0,SC,8.19,90.0,40712908899.0,76.95,100.0,41.0,0.0036,-67.09,41.55,41.0,,8.06,4.6e-07,Siacoin,75.0,147.14,147.14,40.713,0.0
66.0,88.0,100.0,-0.01,27.16,67.39,25.59,159.22,10131103.0,32.0,113.4,63.0,LINK,-0.7,50.0,1000000000.0,76.8,100.0,17.0,0.8236,269.78,58.61,17.0,,25.59,0.00010398,ChainLink,20.0,288.27,288.27,350.0,75.0
86.0,82.0,90.0,-0.87,0.12,53.02,5.24,236.54,592740.0,101.0,217.33,73.0,RLC,-5.94,50.0,86999785.0,76.75,100.0,22.0,0.6746,-5.7,231.29,22.0,,5.24,8.517e-05,iExec RLC,95.0,54.02,54.02,80.071,0.0
66.0,66.0,80.0,1.1,26.8,-27.88,1.01,57.42,435050.0,356.0,51.91,98.0,APPC,4.51,80.0,246203093.0,76.75,70.0,13.0,0.0757,-59.99,61.5,13.0,,1.01,9.55e-06,AppCoins,75.0,7.57,7.57,100.054,50.0
63.0,82.0,90.0,-0.13,32.02,-55.1,3.95,24.71,503033.0,261.0,33.11,88.0,BLZ,-3.29,50.0,500000000.0,76.6,70.0,12.0,0.0612,-80.18,44.11,12.0,,3.95,7.73e-06,Bluzelle,25.0,12.64,12.64,206.324,75.0
54.0,79.0,,-0.14,37.02,4.89,27.04,73.34,58893.0,148.0,67.71,88.0,C20,-0.6,60.0,40656082.0,76.55,100.0,12.0,0.6947,-31.12,82.91,12.0,,27.04,8.77e-05,C20,75.0,28.08,28.08,40.419,100.0
31.0,75.0,,0.03,25.8,-36.43,10.78,52.78,2077008.0,113.0,50.07,92.0,KNC,-5.05,80.0,214762512.0,76.45,100.0,16.0,0.2562,-72.68,86.9,16.0,,10.78,3.235e-05,Kyber Network,70.0,42.7,42.7,166.668,75.0
,64.0,90.0,-0.79,34.98,,5.46,49.96,6347.0,563.0,49.96,90.0,XFC,-2.92,50.0,1000000000.0,76.4,100.0,1.0,0.008,,82.78,1.0,,5.46,1.01e-06,Footballcoin,90.0,2.99,2.99,374.661,
61.0,83.0,,-6.08,8.19,-58.55,1.12,-0.56,487280.0,170.0,0.13,68.0,DRGN,7.17,80.0,433494437.0,76.25,100.0,14.0,0.097,-69.06,17.15,14.0,,1.12,1.225e-05,Dragonchain,55.0,23.13,23.13,238.422,100.0
51.0,79.0,,-0.23,27.32,-26.9,970.55,47.36,429451.0,159.0,62.26,83.0,CND,-0.54,50.0,2000000005.0,76.15,100.0,16.0,0.0173,-46.96,49.4,16.0,,970.55,2.19e-06,Cindicator,75.0,25.05,25.05,1.446,100.0
100.0,48.0,90.0,0.35,-6.21,-75.93,26.76,-83.22,15763.0,930.0,-77.96,98.0,SCR,5.06,80.0,29265075.0,76.05,100.0,6.0,0.0209,-75.93,-70.87,6.0,,26.76,2.63e-06,Scorum Coins,25.0,610.29,610.29,29.265,100.0
79.0,83.0,,-0.68,17.47,-52.75,2.19,-40.93,1695700.0,141.0,28.43,78.0,PAY,0.06,50.0,205218256.0,75.9,100.0,19.0,0.2682,-72.91,-19.25,19.0,,2.19,3.386e-05,TenX,100.0,30.67,30.67,114.348,0.0
86.0,88.0,30.0,0.06,20.24,-32.3,18.01,-4.06,2120757.0,90.0,24.71,98.0,MANA,3.19,80.0,2644403343.0,75.85,100.0,17.0,0.0563,-55.96,43.75,17.0,,18.01,7.11e-06,Decentraland,55.0,59.13,59.13,1.05,75.0
0.0,55.0,100.0,0.73,6.01,170.36,35.39,17.21,45725.0,367.0,9.44,98.0,WCT,-4.41,90.0,9999990.0,75.75,100.0,24.0,0.7246,57.88,-16.93,24.0,,35.39,9.148e-05,Waves Community Token,95.0,7.22,7.22,9.965,0.0
58.0,79.0,,-0.17,42.65,-47.22,3.03,27.82,548306.0,280.0,36.35,93.0,KEY,-5.22,60.0,5999999954.0,75.7,100.0,13.0,0.0039,-66.11,42.99,13.0,,3.03,5e-07,Selfkey,75.0,11.33,11.33,2.868,75.0
71.0,83.0,,0.68,28.19,-56.2,1.08,2.14,476601.0,258.0,7.38,78.0,NCASH,4.44,40.0,10000000000.0,75.65,100.0,11.0,0.0022,-82.84,13.61,11.0,,1.08,2.8e-07,Nucleus Vision,95.0,12.76,12.76,5.783,100.0
60.0,71.0,90.0,-0.21,25.64,-19.99,3.34,68.66,1233758.0,29.0,68.72,98.0,DCR,-1.24,80.0,9787455.0,75.45,70.0,36.0,32.17,-55.87,88.32,36.0,21000000.0,3.34,0.00406086,Decred,25.0,314.82,314.82,9.787,0.0
55.0,79.0,,1.48,33.56,134.01,561.15,213.49,57490.0,82.0,193.3,93.0,SAN,16.44,60.0,83337000.0,75.25,100.0,19.0,1.12,9.04,257.93,19.0,,561.15,0.00014182,Santiment Network Token,80.0,70.39,70.39,62.66,25.0
,66.0,100.0,0.11,27.02,51.21,283.4,116.67,194307.0,404.0,-3.88,88.0,TRTL,-4.29,30.0,43656097100.0,75.2,70.0,6.0,0.0001,51.21,-0.94,6.0,1000000000000.0,283.4,2e-08,Turtlecoin,70.0,6.1,6.1,43.656,
86.0,70.0,50.0,-0.64,20.79,-50.78,953.96,30.87,1200965.0,412.0,42.18,88.0,DOCK,2.05,80.0,1000000000.0,75.2,100.0,9.0,0.0131,-73.21,27.29,9.0,,953.96,1.66e-06,Dock,90.0,5.86,5.86,446.946,100.0
86.0,70.0,60.0,1.69,41.68,15.72,123.9,88.56,1091361.0,697.0,6.88,98.0,HQX,64.78,50.0,275854380.0,75.15,100.0,11.0,0.0101,-37.89,7.21,11.0,,123.9,1.27e-06,HOQU,75.0,1.7,1.7,169.144,100.0
86.0,68.0,90.0,1.82,22.56,-26.85,71.76,9.54,86381.0,276.0,32.05,98.0,XSN,7.82,50.0,89197832.0,75.05,100.0,10.0,0.137,-57.1,75.0,10.0,,71.76,1.73e-05,Stakenet,45.0,11.5,11.5,83.904,0.0
41.0,74.0,,0.45,24.18,-41.54,4.64,-33.89,2561102.0,65.0,-16.13,93.0,STRAT,-2.94,90.0,99329803.0,74.95,100.0,30.0,0.9149,-66.88,-13.09,30.0,,4.64,0.0001155,Stratis,45.0,90.87,90.87,99.33,100.0
60.0,84.0,50.0,0.63,18.85,-46.3,7.17,24.54,1690859.0,95.0,34.79,98.0,ELA,-5.89,80.0,34453824.0,74.85,100.0,12.0,3.69,-78.1,69.15,12.0,,7.17,0.00046596,Elastos,45.0,56.6,56.6,15.335,25.0
75.0,62.0,,-29.19,-37.17,-45.58,0.0,-6.4,397.0,948.0,-14.08,88.0,ERT,-46.52,50.0,230502120.0,74.85,100.0,4.0,0.0032,-45.58,18.92,4.0,,0.0,4e-07,Eristica,95.0,547.37,547.37,172.468,100.0
46.0,63.0,100.0,-0.78,78.42,-0.15,137.49,95.79,54994.0,161.0,114.66,98.0,QRL,-3.29,50.0,68011024.0,74.8,100.0,20.0,0.3678,-28.04,151.17,20.0,105000000.0,137.49,4.644e-05,Quantum Resistant Ledger,70.0,25.02,25.02,68.011,0.0
46.0,70.0,,0.07,31.4,-51.46,49.2,-8.18,88354.0,688.0,-7.83,88.0,CAPP,3.24,60.0,663271025.0,74.8,100.0,14.0,0.0033,-73.94,11.26,14.0,,49.2,4.2e-07,Cappasity,100.0,1.75,1.75,531.039,100.0
63.0,60.0,,1.45,32.62,-67.07,681.08,-24.44,408800.0,382.0,-18.09,88.0,WPR,-0.51,70.0,745248183.0,74.75,100.0,12.0,0.0113,-73.04,-13.94,12.0,,681.08,1.43e-06,WePower,45.0,6.79,6.79,600.745,100.0
52.0,91.0,,-0.01,34.72,164.95,379.4,323.02,46551737.0,7.0,314.21,68.0,BNB,-2.58,50.0,189175490.0,74.7,100.0,18.0,25.97,116.34,299.55,18.0,,379.4,0.00327915,Binance Coin,80.0,3.67,3.67,141.175,50.0
83.0,66.0,90.0,1.03,0.41,-75.79,220.13,0.87,0.0,660.0,0.87,71.0,OPEN,-3.76,80.0,1745447045.0,74.7,100.0,9.0,0.0027,-95.9,0.87,9.0,,220.13,3.4e-07,Open Platform,55.0,1.95,1.95,718.951,50.0
82.0,85.0,,-0.24,6.77,-43.5,1.19,7.44,795331.0,301.0,-0.4,80.0,INS,0.42,70.0,50000000.0,74.65,100.0,13.0,0.3181,-47.47,3.47,13.0,,1.19,4.015e-05,Insolar,75.0,10.34,10.34,32.5,0.0
55.0,64.0,,-0.31,53.92,-58.14,1.71,13.45,560.0,787.0,-10.03,83.0,BDG,22.68,70.0,514800000.0,74.65,100.0,13.0,0.0031,-83.46,-4.71,13.0,,1.71,4e-07,BitDegree,95.0,1.14,1.14,364.571,100.0
57.0,71.0,,-5.35,24.77,134.0,695.06,122.63,133353.0,114.0,139.29,93.0,PART,10.36,60.0,9065480.0,74.55,100.0,19.0,5.29,-2.33,77.45,19.0,,695.06,0.00066764,Particl,80.0,42.67,42.67,8.069,75.0
