Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC,Circ. Supply,Total Supply,Max. Supply,Team,Advisors,Brand/Buzz,Product,Coin,Social,Communication,Business,GitHub,GitHub,Avg. volume,Age (mo),Winning months,label_Price,label_Mkt. Cap,label_growth_rate_Price,label_growth_rate_Mkt. Cap,label_disappeared
Monero,12.0,XMR,88.06,0.01111802,-0.21,-5.57,35.78,93.35,68.42,62.32,-20.15,-33.14,1.5,1.5,79.86,79.86,16.985,16984575.0,,84.95,,,50.0,98.0,77.0,75.0,100.0,100.0,100.0,29651141.0,57.0,57.0,54.19,939.84,-0.3846241199182376,625.5600000000001,FALSE
Aion,83.0,AION,0.225,2.84e-05,0.52,-1.15,27.95,68.69,36.49,32.56,-45.0,-74.79,69.65,69.65,6.59,6.59,309.582,309581662.0,,84.3,80.0,50.0,90.0,63.0,86.0,100.0,100.0,100.0,100.0,2041962.0,16.0,16.0,0.0678,24.59,-0.6986666666666667,-0.6469490308686289,FALSE
Skycoin,151.0,SKY,1.83,0.00023074,0.62,14.25,63.17,78.37,59.17,62.01,-40.43,-70.56,27.41,27.41,23.89,23.89,15.0,25000000.0,100000000.0,84.15,46.0,75.0,50.0,100.0,82.0,75.0,100.0,100.0,100.0,514114.0,22.0,22.0,0.5085,8.65,-0.7221311475409836,-0.6844217438890915,FALSE
TRON,11.0,TRX,0.029,3.66e-06,-0.11,-5.23,23.13,11.42,26.07,39.79,24.03,-18.49,1.93,1.93,1.26,1.26,66.682,99281283754.0,,84.05,66.0,0.0,100.0,98.0,68.0,95.0,100.0,100.0,100.0,268864804.0,17.0,17.0,0.0145,969.33,-0.5,501.24352331606224,FALSE
Polymath,117.0,POLY,0.0973,1.229e-05,-0.03,-1.01,26.39,-21.17,-31.3,-36.07,-63.07,-72.75,41.15,41.15,14.65,14.65,422.858,1000000000.0,,83.95,80.0,50.0,80.0,78.0,86.0,55.0,100.0,100.0,100.0,2058745.0,12.0,12.0,0.0223,10.02,-0.7708119218910586,-0.7565006075334143,FALSE
Bitcoin Private,731.0,BTCP,0.3069,3.874e-05,0.23,12.47,52.08,-74.18,-81.21,-85.47,-84.62,-95.45,1.44,1.44,101.52,101.52,4.688,22717926.0,22873588.0,83.85,,,80.0,93.0,78.0,0.0,100.0,90.0,90.0,47198.0,11.0,11.0,0.0977,466.14,-0.6816552623004236,322.7083333333333,FALSE
GoChain,225.0,GO,0.0221,2.8e-06,0.97,-2.6,30.56,1.01,-8.41,-20.68,-66.71,-68.18,15.83,15.83,2.83,2.83,715.046,1044228156.0,,83.75,83.0,75.0,50.0,96.0,88.0,90.0,100.0,80.0,80.0,920964.0,8.0,8.0,0.0121,10.39,-0.4524886877828055,-0.34365129500947567,FALSE
Burst,385.0,BURST,0.0032,4.1e-07,0.99,-8.15,-39.74,-13.82,-10.62,-42.76,-59.35,-75.86,6.56,6.56,336.42,336.42,2.04,2040319166.0,2158812800.0,83.3,,,50.0,98.0,80.0,55.0,100.0,90.0,90.0,61183.0,53.0,53.0,0.0032,6.7,0.0,0.021341463414634235,FALSE
BitShares,41.0,BTS,0.0718,9.07e-06,-0.4,6.3,41.01,83.66,58.43,63.67,-26.12,-26.12,195.16,195.16,25.8,25.8,2.718,2717910000.0,3600570502.0,83.2,,,90.0,93.0,63.0,55.0,100.0,100.0,100.0,3545431.0,55.0,55.0,0.0201,55.37,-0.7200557103064067,-0.716284074605452,FALSE
Steem Dollars,334.0,SBD,1.02,0.00012845,-0.5,-0.33,8.23,7.5,25.81,43.28,3.93,-16.87,9.06,9.06,1.07,1.07,8.908,8908102.0,,82.7,,,90.0,93.0,63.0,75.0,70.0,100.0,100.0,115704.0,31.0,31.0,0.6297,4.63,-0.3826470588235294,-0.48896247240618107,FALSE
IoTeX,129.0,IOTX,0.0104,1.32e-06,0.1,-2.85,24.74,36.45,28.17,18.46,-43.1,-55.68,36.5,36.5,2.8,2.8,3.5,10000000000.0,,82.6,86.0,75.0,50.0,76.0,82.0,100.0,100.0,100.0,100.0,918887.0,8.0,8.0,0.004,21.42,-0.6153846153846153,-0.4131506849315068,FALSE
Zilliqa,47.0,ZIL,0.0187,2.36e-06,0.05,-4.93,18.8,-16.3,-16.06,-6.76,-46.27,-74.36,162.16,162.16,38.54,38.54,8.687,12533042435.0,,82.35,86.0,100.0,80.0,73.0,73.0,75.0,100.0,100.0,100.0,14882924.0,12.0,12.0,0.0064,62.15,-0.6577540106951872,-0.6167365564874198,FALSE
XRP (Ripple),3.0,XRP,0.418,5.277e-05,0.01,-3.49,40.63,31.36,14.49,10.35,-18.34,-8.32,17.61,17.61,4.94,4.94,42.133,99991633428.0,100000000000.0,82.3,71.0,50.0,100.0,84.0,83.0,100.0,100.0,,,471603727.0,66.0,66.0,,,,,TRUE
Bitcoin Cash,4.0,BCH,402.05,0.050758,-0.16,1.27,42.09,208.81,140.87,107.69,-30.42,-48.15,7.15,7.15,4.48,4.48,17.786,17785713.0,21000000.0,82.25,,,80.0,88.0,77.0,0.0,100.0,90.0,90.0,218570156.0,18.0,18.0,211.97,3.85,-0.4727770177838577,-0.46153846153846156,FALSE
SmartCash,239.0,SMART,0.0101,1.28e-06,-1.07,-1.21,-0.75,-7.5,-29.54,-42.88,-45.22,-88.38,14.35,14.35,202.51,202.51,1.414,2014903577.0,5000000000.0,82.1,,,50.0,98.0,82.0,75.0,100.0,80.0,80.0,187420.0,19.0,19.0,0.0023,3.26,-0.7722772277227723,-0.7728222996515679,FALSE
Komodo,54.0,KMD,1.19,0.00015072,0.2,-4.04,5.49,80.81,54.62,66.42,-1.61,-18.77,135.52,135.52,3.96,3.96,113.52,113519636.0,200000000.0,81.75,80.0,0.0,90.0,88.0,75.0,95.0,100.0,90.0,90.0,388208.0,24.0,24.0,0.6498,76.22,-0.45394957983193274,-0.4375737898465172,FALSE
Nexo,118.0,NEXO,0.0714,9.02e-06,0.04,-4.49,-7.8,23.31,-6.66,-13.05,-55.71,-9.57,40.0,40.0,11.35,11.35,560.0,1000000000.0,,81.75,85.0,100.0,60.0,86.0,89.0,25.0,100.0,,,4068257.0,9.0,9.0,0.0968,54.2,0.35574229691876735,0.3550000000000001,FALSE
ZCoin,88.0,XZC,7.93,0.00100132,-1.03,1.13,26.56,50.98,39.41,44.92,-23.75,-52.36,59.49,59.49,2.0,2.0,7.501,21400000.0,21400000.0,81.75,66.0,25.0,80.0,98.0,71.0,95.0,100.0,90.0,90.0,512116.0,28.0,28.0,3.51,31.5,-0.5573770491803279,-0.470499243570348,FALSE
Basic Attention Token,23.0,BAT,0.3794,4.79e-05,-0.19,-1.48,33.64,209.34,174.28,150.43,4.94,16.65,478.81,478.81,62.56,62.56,1.262,1500000000.0,,81.6,80.0,75.0,70.0,88.0,89.0,55.0,100.0,,,7668697.0,20.0,20.0,0.1892,257.56,-0.5013178703215604,-0.46208308097157536,FALSE
ost,243.0,OST,0.0228,2.88e-06,0.02,-0.05,16.48,-0.65,-14.5,-19.78,-54.24,-64.85,14.22,14.22,1.94,1.94,623.857,800000000.0,,81.55,78.0,100.0,60.0,83.0,83.0,95.0,100.0,,,640697.0,14.0,14.0,0.0104,7.14,-0.543859649122807,-0.4978902953586498,FALSE
Verge,46.0,XVG,0.0108,1.37e-06,-2.85,13.82,70.48,63.28,46.39,25.08,-19.47,-53.36,173.65,173.65,23.55,23.55,16.017,16017168369.0,16555000000.0,81.5,86.0,0.0,100.0,98.0,77.0,50.0,100.0,80.0,80.0,2428588.0,51.0,51.0,0.0045,72.13,-0.5833333333333334,-0.5846242441693061,FALSE
SingularityNET,160.0,AGI,0.0464,5.85e-06,-0.83,2.02,30.07,-5.03,-14.66,-4.79,-29.36,-48.73,25.02,25.02,3.62,3.62,539.673,1000000000.0,,81.45,80.0,75.0,50.0,98.0,82.0,75.0,100.0,80.0,80.0,451047.0,13.0,13.0,0.0194,10.46,-0.5818965517241379,-0.5819344524380495,FALSE
OmiseGo,30.0,OMG,2.17,0.00027428,-0.16,-0.02,29.9,71.67,44.01,33.14,-36.5,-69.02,304.69,304.69,143.59,143.59,140.245,140245398.0,,80.85,36.0,50.0,100.0,82.0,89.0,95.0,100.0,,,30795990.0,19.0,19.0,0.744,104.34,-0.6571428571428571,-0.6575535790475565,FALSE
Enigma,132.0,ENG,0.4764,6.015e-05,0.37,2.81,21.14,65.59,40.53,73.6,-25.51,-63.48,35.65,35.65,3.89,3.89,74.836,150000000.0,,80.8,66.0,75.0,80.0,73.0,82.0,70.0,100.0,90.0,90.0,505971.0,16.0,16.0,0.5207,38.97,0.09298908480268694,0.09312762973352035,FALSE
Po.et,197.0,POE,0.0058,7.3e-07,1.23,15.86,57.9,7.69,-1.11,3.96,-51.88,-67.72,18.2,18.2,2.99,2.99,3.142,3141592653.0,,80.8,86.0,50.0,80.0,78.0,82.0,90.0,100.0,80.0,80.0,1060129.0,17.0,17.0,0.0023,7.11,-0.603448275862069,-0.6093406593406594,FALSE
Aeternity,51.0,AE,0.557,7.032e-05,1.35,2.32,22.97,32.93,36.67,21.45,-52.59,-69.58,147.4,147.4,23.73,23.73,264.637,310457706.0,,80.5,100.0,100.0,50.0,73.0,73.0,90.0,100.0,100.0,100.0,39242360.0,20.0,20.0,0.1614,47.39,-0.7102333931777379,-0.678493894165536,FALSE
aelf,77.0,ELF,0.217,2.74e-05,-0.09,0.12,35.5,93.81,77.55,63.94,-31.41,-67.31,77.13,77.13,19.2,19.2,355.4,880000000.0,1000000000.0,80.15,43.0,50.0,80.0,65.0,84.0,80.0,100.0,100.0,100.0,3120054.0,14.0,14.0,0.0621,33.79,-0.7138248847926266,-0.5619084662258524,FALSE
Metaverse ETP,99.0,ETP,0.7609,9.606e-05,-1.65,-7.53,16.63,38.11,17.78,18.67,-76.04,-63.88,54.26,54.26,43.78,43.78,71.318,75592069.0,100000000.0,79.9,63.0,0.0,50.0,88.0,88.0,45.0,100.0,100.0,100.0,5217034.0,20.0,20.0,0.4081,31.48,-0.46366145354185834,-0.41983044600073716,FALSE
Ravencoin,38.0,RVN,0.0583,7.37e-06,-0.05,-1.31,34.4,342.01,289.89,259.5,39.84,252.49,207.23,207.23,52.58,52.58,3.552,3552070000.0,21000000000.0,79.55,,,50.0,98.0,75.0,0.0,70.0,90.0,90.0,2971787.0,11.0,11.0,0.033,165.63,-0.43396226415094336,-0.20074313564638324,FALSE
Stellar,9.0,XLM,0.1383,1.746e-05,-1.12,10.05,52.93,35.69,12.38,10.87,-45.23,-52.05,2.65,2.65,887.14,887.14,19.185,104982420568.0,,79.3,62.0,100.0,100.0,94.0,83.0,20.0,100.0,,,115857156.0,54.0,54.0,0.0551,1.1,-0.6015907447577729,-0.5849056603773585,FALSE
DeviantCoin,899.0,DEV,0.0473,5.97e-06,12.16,1.0,-6.45,37.48,-39.57,-50.9,-82.93,-94.84,731.06,731.06,2.36,2.36,15.449,17263266.0,88000000.0,79.25,,,80.0,96.0,67.0,40.0,100.0,80.0,80.0,2883.0,10.0,10.0,0.0085,131.55,-0.8202959830866807,-0.8200558093726917,FALSE
Civic,150.0,CVC,0.0813,1.026e-05,-0.29,-0.05,20.27,56.35,42.39,36.19,-41.14,-58.16,27.85,27.85,5.97,5.97,342.7,1000000000.0,,79.15,76.0,50.0,70.0,89.0,83.0,95.0,100.0,,,428939.0,19.0,19.0,0.0268,17.96,-0.6703567035670356,-0.35511669658886896,FALSE
Status,61.0,SNT,0.0279,3.53e-06,-0.34,2.48,31.76,27.9,45.45,41.29,-25.36,-60.75,96.99,96.99,20.43,20.43,3.47,6804870174.0,,78.95,66.0,50.0,90.0,63.0,88.0,25.0,70.0,100.0,100.0,16562690.0,19.0,19.0,0.011,38.24,-0.6057347670250897,-0.6057325497473965,FALSE
NEO,19.0,NEO,12.17,0.00153584,0.59,-1.92,41.28,58.82,41.04,51.88,-25.84,-65.31,790.74,790.74,773.0,773.0,65.0,100000000.0,100000000.0,78.8,46.0,0.0,100.0,78.0,83.0,40.0,100.0,90.0,90.0,125763454.0,29.0,29.0,8.95,630.98,-0.26458504519309783,-0.2020385967574677,FALSE
NAV Coin,229.0,NAV,0.2347,2.963e-05,0.86,14.83,40.56,35.15,33.75,25.02,-33.61,-48.95,15.28,15.28,2.18,2.18,65.1,65100454.0,,78.8,,,80.0,93.0,61.0,45.0,100.0,90.0,90.0,271786.0,56.0,56.0,0.1002,6.7,-0.5730720068172135,-0.5615183246073298,FALSE
Cortex,149.0,CTXC,0.1866,2.355e-05,2.54,-0.66,30.89,76.83,31.83,47.73,-38.12,-66.36,27.95,27.95,8.85,8.85,149.792,299792458.0,,78.65,63.0,75.0,60.0,81.0,85.0,90.0,100.0,,,2276784.0,10.0,10.0,0.0835,12.5,-0.552518756698821,-0.552772808586762,FALSE
Ethereum,2.0,ETH,260.1,0.03283705,-0.67,8.17,54.03,120.24,69.44,102.19,21.38,-44.36,27.6,27.6,18.12,18.12,106.095,106095227.0,,78.4,63.0,0.0,100.0,78.0,78.0,5.0,100.0,100.0,100.0,2643283152.0,42.0,42.0,148.79,16.19,-0.4279507881584007,-0.41340579710144926,FALSE
Swarm,375.0,SWM,0.087,1.098e-05,-3.26,7.75,-3.41,-33.34,-45.75,-55.73,-61.46,-65.44,7.0,7.0,174.41,174.41,80.444,100000000.0,,78.05,59.0,100.0,40.0,92.0,79.0,95.0,100.0,,,49350.0,12.0,12.0,0.0224,1.76,-0.7425287356321838,-0.7485714285714286,FALSE
Gas,146.0,GAS,2.86,0.00036125,-0.15,-0.89,24.97,32.19,15.88,31.18,-44.41,-74.21,28.98,28.98,3.22,3.22,10.128,17190378.0,100000000.0,78.0,40.0,0.0,100.0,78.0,73.0,90.0,100.0,90.0,90.0,912101.0,19.0,19.0,1.08,10.91,-0.6223776223776223,-0.6235334713595583,FALSE
DigiByte,50.0,DGB,0.0131,1.66e-06,0.91,-4.82,30.26,36.78,10.7,14.48,-37.09,-37.09,154.75,154.75,7.44,7.44,11.799,11798893211.0,21000000000.0,77.95,66.0,0.0,90.0,80.0,75.0,25.0,100.0,100.0,100.0,960758.0,60.0,60.0,0.0065,81.62,-0.5038167938931298,-0.4725686591276252,FALSE
Universa,400.0,UTNP,0.0033,4.2e-07,-0.54,-3.74,10.24,-41.05,-51.94,-20.83,-29.32,-69.79,6.16,6.16,59.22,59.22,1.849,4997891952.0,,77.75,81.0,0.0,80.0,93.0,72.0,95.0,100.0,,,1352.0,12.0,12.0,0.0025,4.59,-0.2424242424242424,-0.2548701298701299,FALSE
Bitcoin Diamond,43.0,BCD,1.03,0.00012963,-0.17,-5.21,20.07,29.46,10.49,7.74,-40.92,-75.5,191.49,191.49,6.2,6.2,186.493,189492898.0,210000000.0,77.7,,,50.0,88.0,86.0,25.0,100.0,70.0,70.0,1496384.0,14.0,14.0,0.3617,67.45,-0.6488349514563106,-0.647762285236827,FALSE
Tokenpay,167.0,TPAY,1.47,0.00018533,0.33,3.96,27.4,108.23,77.58,70.28,-16.97,-60.56,23.52,23.52,1.27,1.27,16.024,20120370.0,25000000.0,77.7,83.0,50.0,80.0,98.0,78.0,95.0,100.0,50.0,50.0,216821.0,10.0,10.0,0.1007,1.66,-0.9314965986394558,-0.9294217687074829,FALSE
Wanchain,110.0,WAN,0.4153,5.244e-05,1.32,-0.5,34.93,25.8,8.65,0.17,-58.96,-80.45,44.09,44.09,2.81,2.81,106.152,210000000.0,,77.45,56.0,0.0,90.0,93.0,85.0,55.0,100.0,,,2358222.0,10.0,10.0,0.1878,19.93,-0.5477967734168071,-0.5479700612383761,FALSE
Groestlcoin,137.0,GRS,0.4376,5.525e-05,0.23,4.25,28.53,106.18,80.34,60.4,-14.42,-30.05,31.75,31.75,10.76,10.76,72.553,72552649.0,105000000.0,77.45,100.0,0.0,90.0,98.0,69.0,25.0,100.0,80.0,80.0,645707.0,58.0,58.0,0.1868,13.81,-0.5731261425959782,-0.56503937007874,FALSE
ODEM,124.0,ODE,0.1626,2.053e-05,-0.06,-10.44,-14.52,-43.94,-44.22,-42.44,-17.83,-59.31,37.45,37.45,5.23,5.23,230.296,268946131.0,,77.35,61.0,100.0,40.0,88.0,87.0,45.0,100.0,,,987342.0,10.0,10.0,0.0597,13.08,-0.6328413284132841,-0.6507343124165554,FALSE
LAToken,94.0,LA,0.1518,1.916e-05,-3.81,20.98,62.87,133.87,73.17,137.98,102.96,25.44,57.02,57.02,8.01,8.01,375.604,400000000.0,1000000000.0,77.3,65.0,50.0,50.0,88.0,84.0,100.0,100.0,,,3487032.0,15.0,15.0,0.1166,44.32,-0.23188405797101447,-0.22272886706418804,FALSE
SysCoin,135.0,SYS,0.0594,7.5e-06,-0.78,0.64,-1.99,38.39,18.54,25.88,-34.45,-60.83,32.86,32.86,980.51,980.51,553.131,553130522.0,888000000.0,77.25,66.0,0.0,80.0,98.0,71.0,25.0,100.0,90.0,90.0,297646.0,54.0,54.0,0.0227,12.99,-0.6178451178451178,-0.6046865489957395,FALSE
Revain,102.0,R,0.1105,1.395e-05,0.42,-4.46,11.19,-50.11,-57.81,-42.79,-44.28,-59.36,53.52,53.52,2.12,2.12,484.45,484450000.0,484450000.0,77.0,56.0,75.0,70.0,73.0,89.0,95.0,100.0,,,2687040.0,15.0,15.0,0.0421,20.4,-0.6190045248868778,-0.6188340807174888,FALSE
Siacoin,52.0,SC,0.0036,4.6e-07,0.15,8.19,48.81,41.55,29.73,21.52,-42.78,-67.09,147.14,147.14,8.06,8.06,40.713,40712908899.0,,76.95,41.0,0.0,90.0,93.0,87.0,75.0,100.0,,,1158878.0,41.0,41.0,0.0015,61.96,-0.5833333333333333,-0.5789044447464998,FALSE
ChainLink,32.0,LINK,0.8236,0.00010398,-0.01,-0.7,27.16,58.61,113.4,159.22,67.39,269.78,288.27,288.27,25.59,25.59,350.0,1000000000.0,,76.8,66.0,75.0,50.0,63.0,88.0,20.0,100.0,100.0,100.0,10131103.0,17.0,17.0,2.03,712.1,1.464788732394366,1.47025358171159,FALSE
iExec RLC,101.0,RLC,0.6746,8.517e-05,-0.87,-5.94,0.12,231.29,217.33,236.54,53.02,-5.7,54.02,54.02,5.24,5.24,80.071,86999785.0,,76.75,86.0,0.0,50.0,73.0,82.0,95.0,100.0,90.0,90.0,592740.0,22.0,22.0,0.5566,44.57,-0.17491847020456566,-0.17493520918178457,FALSE
AppCoins,356.0,APPC,0.0757,9.55e-06,1.1,4.51,26.8,61.5,51.91,57.42,-27.88,-59.99,7.57,7.57,1.01,1.01,100.054,246203093.0,,76.75,66.0,50.0,80.0,98.0,66.0,75.0,70.0,80.0,80.0,435050.0,13.0,13.0,0.0297,2.97,-0.6076618229854689,-0.6076618229854689,FALSE
Bluzelle,261.0,BLZ,0.0612,7.73e-06,-0.13,-3.29,32.02,44.11,33.11,24.71,-55.1,-80.18,12.64,12.64,3.95,3.95,206.324,500000000.0,,76.6,63.0,75.0,50.0,88.0,82.0,25.0,70.0,90.0,90.0,503033.0,12.0,12.0,0.0219,4.65,-0.6421568627450981,-0.632120253164557,FALSE
C20,148.0,C20,0.6947,8.77e-05,-0.14,-0.6,37.02,82.91,67.71,73.34,4.89,-31.12,28.08,28.08,27.04,27.04,40.419,40656082.0,,76.55,54.0,100.0,60.0,88.0,79.0,75.0,100.0,,,58893.0,12.0,12.0,0.4142,16.72,-0.4037714121203397,-0.4045584045584046,FALSE
Kyber Network,113.0,KNC,0.2562,3.235e-05,0.03,-5.05,25.8,86.9,50.07,52.78,-36.43,-72.68,42.7,42.7,10.78,10.78,166.668,214762512.0,,76.45,31.0,75.0,80.0,92.0,75.0,70.0,100.0,,,2077008.0,16.0,16.0,0.2523,42.54,-0.015222482435597031,-0.0037470725995317022,FALSE
Footballcoin,563.0,XFC,0.008,1.01e-06,-0.79,-2.92,34.98,82.78,49.96,49.96,,,2.99,2.99,5.46,5.46,374.661,1000000000.0,,76.4,,,50.0,90.0,64.0,90.0,100.0,90.0,90.0,6347.0,1.0,1.0,0.0028,1.05,-0.6499999999999999,-0.6488294314381271,FALSE
Dragonchain,170.0,DRGN,0.097,1.225e-05,-6.08,7.17,8.19,17.15,0.13,-0.56,-58.55,-69.06,23.13,23.13,1.12,1.12,238.422,433494437.0,,76.25,61.0,100.0,80.0,68.0,83.0,55.0,100.0,,,487280.0,14.0,14.0,0.0284,6.77,-0.7072164948453608,-0.7073065283182015,FALSE
Cindicator,159.0,CND,0.0173,2.19e-06,-0.23,-0.54,27.32,49.4,62.26,47.36,-26.9,-46.96,25.05,25.05,970.55,970.55,1.446,2000000005.0,,76.15,51.0,100.0,50.0,83.0,79.0,75.0,100.0,,,429451.0,16.0,16.0,0.0091,16.74,-0.4739884393063583,-0.3317365269461079,FALSE
Scorum Coins,930.0,SCR,0.0209,2.63e-06,0.35,5.06,-6.21,-70.87,-77.96,-83.22,-75.93,-75.93,610.29,610.29,26.76,26.76,29.265,29265075.0,,76.05,100.0,100.0,80.0,98.0,48.0,25.0,100.0,90.0,90.0,15763.0,6.0,6.0,0.0032,94.83,-0.8468899521531099,-0.8446148552327581,FALSE
TenX,141.0,PAY,0.2682,3.386e-05,-0.68,0.06,17.47,-19.25,28.43,-40.93,-52.75,-72.91,30.67,30.67,2.19,2.19,114.348,205218256.0,,75.9,79.0,0.0,50.0,78.0,83.0,100.0,100.0,,,1695700.0,19.0,19.0,0.0573,8.22,-0.7863534675615212,-0.7319856537332899,FALSE
